Rank,Club,Total,Matches,Average,Year
1,Sturm Graz,56.005,5,11.201,2018
2,RB Salzburg,53.761,5,10.752,2018
3,Austria Wien,48.321,5,9.664,2018
4,LASK,26.997,5,5.399,2018
5,Wolfsberger AC,18.321,5,3.664,2018
6,SKN St. P̦lten,15.857,5,3.171,2018
1,Sturm Graz,0,5,0,2019
,RB Salzburg,0,5,0,2019
,Wolfsberger AC,0,5,0,2019
,TSV Hartberg,0,5,0,2019
,Rapid Wien,0,5,0,2019
,LASK,0,5,0,2019
1,Rapid Wien,3.000,5,600,2020
,Wolfsberger AC,3.000,5,600,2020
,RB Salzburg,3.000,5,600,2020
4,Sturm Graz,0,5,0,2020
,WSG Tirol,0,5,0,2020
,LASK,0,5,0,2020
1,Rapid Wien,99.200,5,19.840,2021
2,RB Salzburg,63.487,5,12.697,2021
3,Sturm Graz,61.799,5,12.360,2021
4,Austria Wien,57.692,5,11.538,2021
5,SK Austria Klagenfurt,26.897,5,5.379,2021
6,Wolfsberger AC,21.975,5,4.395,2021
1,Rapid Wien,98.234,5,19.647,2022
2,LASK,74.145,5,14.829,2022
3,RB Salzburg,73.272,5,14.654,2022
4,Sturm Graz,72.782,5,14.556,2022
5,Austria Wien,63.098,5,12.620,2022
6,SK Austria Klagenfurt,23.932,5,4.786,2022
